"Step","L1_D256_H16_M4_xisps_elastic_a1 - test/acc1_g2","L1_D256_H16_M4_xisps_elastic_a1 - test/acc1_g2__MIN","L1_D256_H16_M4_xisps_elastic_a1 - test/acc1_g2__MAX","L1_D256_H16_M4_xispsv2_elastic_a2 - test/acc1_g2","L1_D256_H16_M4_xispsv2_elastic_a2 - test/acc1_g2__MIN","L1_D256_H16_M4_xispsv2_elastic_a2 - test/acc1_g2__MAX","L1_D160_H16_M4_xisps_a1 - test/acc1_g2","L1_D160_H16_M4_xisps_a1 - test/acc1_g2__MIN","L1_D160_H16_M4_xisps_a1 - test/acc1_g2__MAX","L2_D384_H16_M4_xisps_a1 - test/acc1_g2","L2_D384_H16_M4_xisps_a1 - test/acc1_g2__MIN","L2_D384_H16_M4_xisps_a1 - test/acc1_g2__MAX","L2_D384_H16_M4_xispsv2_elastic_a2 - test/acc1_g2","L2_D384_H16_M4_xispsv2_elastic_a2 - test/acc1_g2__MIN","L2_D384_H16_M4_xispsv2_elastic_a2 - test/acc1_g2__MAX","L2_D384_H16_M4_xisps_elastic_a1 - test/acc1_g2","L2_D384_H16_M4_xisps_elastic_a1 - test/acc1_g2__MIN","L2_D384_H16_M4_xisps_elastic_a1 - test/acc1_g2__MAX","L1_D256_H16_M4_baseline - test/acc1_g2","L1_D256_H16_M4_baseline - test/acc1_g2__MIN","L1_D256_H16_M4_baseline - test/acc1_g2__MAX","L2_D384_H16_M4_baseline - test/acc1_g2","L2_D384_H16_M4_baseline - test/acc1_g2__MIN","L2_D384_H16_M4_baseline - test/acc1_g2__MAX","L1_D256_H16_M4_xisps_a1 - test/acc1_g2","L1_D256_H16_M4_xisps_a1 - test/acc1_g2__MIN","L1_D256_H16_M4_xisps_a1 - test/acc1_g2__MAX"
"0","8.333333333333334","8.333333333333334","8.333333333333334","9.375","9.375","9.375","16.666666666666668","16.666666666666668","16.666666666666668","13.194444444444445","13.194444444444445","13.194444444444445","27.77777777777778","27.77777777777778","27.77777777777778","12.5","12.5","12.5","8.333333333333334","8.333333333333334","8.333333333333334","31.944444444444443","31.944444444444443","31.944444444444443","9.375","9.375","9.375"
"1","24.65277777777778","24.65277777777778","24.65277777777778","26.38888888888889","26.38888888888889","26.38888888888889","16.666666666666668","16.666666666666668","16.666666666666668","37.84722222222222","37.84722222222222","37.84722222222222","36.80555555555556","36.80555555555556","36.80555555555556","29.86111111111111","29.86111111111111","29.86111111111111","34.72222222222222","34.72222222222222","34.72222222222222","25.34722222222222","25.34722222222222","25.34722222222222","16.666666666666668","16.666666666666668","16.666666666666668"
"2","24.305555555555557","24.305555555555557","24.305555555555557","25.34722222222222","25.34722222222222","25.34722222222222","25","25","25","28.47222222222222","28.47222222222222","28.47222222222222","32.638888888888886","32.638888888888886","32.638888888888886","17.01388888888889","17.01388888888889","17.01388888888889","33.333333333333336","33.333333333333336","33.333333333333336","29.51388888888889","29.51388888888889","29.51388888888889","25","25","25"
"3","32.986111111111114","32.986111111111114","32.986111111111114","36.111111111111114","36.111111111111114","36.111111111111114","27.77777777777778","27.77777777777778","27.77777777777778","38.888888888888886","38.888888888888886","38.888888888888886","38.888888888888886","38.888888888888886","38.888888888888886","32.291666666666664","32.291666666666664","32.291666666666664","42.361111111111114","42.361111111111114","42.361111111111114","46.875","46.875","46.875","16.666666666666668","16.666666666666668","16.666666666666668"
"4","33.333333333333336","33.333333333333336","33.333333333333336","36.458333333333336","36.458333333333336","36.458333333333336","28.125","28.125","28.125","35.416666666666664","35.416666666666664","35.416666666666664","35.06944444444444","35.06944444444444","35.06944444444444","31.25","31.25","31.25","42.013888888888886","42.013888888888886","42.013888888888886","50.69444444444444","50.69444444444444","50.69444444444444","33.68055555555556","33.68055555555556","33.68055555555556"
"5","52.77777777777778","52.77777777777778","52.77777777777778","23.958333333333332","23.958333333333332","23.958333333333332","37.5","37.5","37.5","46.18055555555556","46.18055555555556","46.18055555555556","24.305555555555557","24.305555555555557","24.305555555555557","24.305555555555557","24.305555555555557","24.305555555555557","27.77777777777778","27.77777777777778","27.77777777777778","54.166666666666664","54.166666666666664","54.166666666666664","38.19444444444444","38.19444444444444","38.19444444444444"
"6","41.31944444444444","41.31944444444444","41.31944444444444","40.97222222222222","40.97222222222222","40.97222222222222","44.09722222222222","44.09722222222222","44.09722222222222","46.18055555555556","46.18055555555556","46.18055555555556","37.84722222222222","37.84722222222222","37.84722222222222","37.15277777777778","37.15277777777778","37.15277777777778","34.72222222222222","34.72222222222222","34.72222222222222","45.833333333333336","45.833333333333336","45.833333333333336","26.38888888888889","26.38888888888889","26.38888888888889"
"7","29.166666666666668","29.166666666666668","29.166666666666668","42.013888888888886","42.013888888888886","42.013888888888886","51.388888888888886","51.388888888888886","51.388888888888886","35.763888888888886","35.763888888888886","35.763888888888886","13.194444444444445","13.194444444444445","13.194444444444445","34.375","34.375","34.375","50.34722222222222","50.34722222222222","50.34722222222222","47.916666666666664","47.916666666666664","47.916666666666664","59.02777777777778","59.02777777777778","59.02777777777778"
"8","54.861111111111114","54.861111111111114","54.861111111111114","32.638888888888886","32.638888888888886","32.638888888888886","48.958333333333336","48.958333333333336","48.958333333333336","45.833333333333336","45.833333333333336","45.833333333333336","21.180555555555557","21.180555555555557","21.180555555555557","47.56944444444444","47.56944444444444","47.56944444444444","33.68055555555556","33.68055555555556","33.68055555555556","48.958333333333336","48.958333333333336","48.958333333333336","29.51388888888889","29.51388888888889","29.51388888888889"
"9","53.47222222222222","53.47222222222222","53.47222222222222","37.84722222222222","37.84722222222222","37.84722222222222","60.416666666666664","60.416666666666664","60.416666666666664","22.569444444444443","22.569444444444443","22.569444444444443","53.47222222222222","53.47222222222222","53.47222222222222","51.041666666666664","51.041666666666664","51.041666666666664","47.22222222222222","47.22222222222222","47.22222222222222","41.666666666666664","41.666666666666664","41.666666666666664","52.083333333333336","52.083333333333336","52.083333333333336"
