"Step","spikformer_x1_d1_e200 - test/acc1_g2","spikformer_x1_d1_e200 - test/acc1_g2__MIN","spikformer_x1_d1_e200 - test/acc1_g2__MAX","spikformer_x2_d1_e200 - test/acc1_g2","spikformer_x2_d1_e200 - test/acc1_g2__MIN","spikformer_x2_d1_e200 - test/acc1_g2__MAX","spikformer_x2_d3_e256_m4_h16 - test/acc1_g2","spikformer_x2_d3_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x2_d3_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x1_d3_e256_m4_h16 - test/acc1_g2","spikformer_x1_d3_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x1_d3_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x2_d2_e256_m4_h16 - test/acc1_g2","spikformer_x2_d2_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x2_d2_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x1_d2_e256_m4_h16 - test/acc1_g2","spikformer_x1_d2_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x1_d2_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x1_d1_e256_m4_h16 - test/acc1_g2","spikformer_x1_d1_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x1_d1_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x2_d1_e256_m4_h16 - test/acc1_g2","spikformer_x2_d1_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x2_d1_e256_m4_h16 - test/acc1_g2__MAX"
"0","20","20","20","27.6","27.6","27.6","19.4","19.4","19.4","16","16","16","26.8","26.8","26.8","13.6","13.6","13.6","18.4","18.4","18.4","27","27","27"
"1","27.3","27.3","27.3","32.5","32.5","32.5","26","26","26","23.2","23.2","23.2","25","25","25","28.5","28.5","28.5","25.399999999999995","25.4","25.4","33.8","33.8","33.8"
"2","34.9","34.9","34.9","35.4","35.4","35.4","30.6","30.6","30.6","29.3","29.3","29.3","34.2","34.2","34.2","33.2","33.2","33.2","32","32","32","37.1","37.1","37.1"
"3","36.5","36.5","36.5","41","41","41","32.3","32.3","32.3","32.7","32.7","32.7","34.3","34.3","34.3","31.9","31.9","31.9","36.7","36.7","36.7","38.4","38.4","38.4"
"4","43","43","43","40.3","40.3","40.3","40.3","40.3","40.3","13.5","13.5","13.5","42.7","42.7","42.7","33.2","33.2","33.2","44.70000000000001","44.7","44.7","45","45","45"
"5","36.8","36.8","36.8","36.2","36.2","36.2","26.5","26.5","26.5","10.9","10.9","10.9","26.9","26.9","26.9","39.1","39.1","39.1","44.5","44.5","44.5","44.8","44.8","44.8"
"6","45.9","45.9","45.9","48.9","48.9","48.9","41.2","41.2","41.2","31.5","31.5","31.5","45.8","45.8","45.8","43","43","43","44.70000000000001","44.7","44.7","43.2","43.2","43.2"
"7","49.6","49.6","49.6","40.8","40.8","40.8","28.5","28.5","28.5","32.6","32.6","32.6","26.5","26.5","26.5","35.2","35.2","35.2","54.20000000000001","54.2","54.2","49.5","49.5","49.5"
"8","44.8","44.8","44.8","36.1","36.1","36.1","33.2","33.2","33.2","36.1","36.1","36.1","42.3","42.3","42.3","44.3","44.3","44.3","44.79999999999999","44.8","44.8","43","43","43"
"9","51.8","51.8","51.8","49.9","49.9","49.9","50.5","50.5","50.5","33.9","33.9","33.9","40.2","40.2","40.2","45.7","45.7","45.7","50.9","50.9","50.9","43.2","43.2","43.2"
"10","55.3","55.3","55.3","47.6","47.6","47.6","52.2","52.2","52.2","40.8","40.8","40.8","50.2","50.2","50.2","47.6","47.6","47.6","49.70000000000001","49.7","49.7","42.5","42.5","42.5"
"11","58.8","58.8","58.8","56.9","56.9","56.9","45","45","45","41.7","41.7","41.7","47.4","47.4","47.4","50.4","50.4","50.4","59.20000000000001","59.2","59.2","57.2","57.2","57.2"
"12","59.7","59.7","59.7","53","53","53","57.5","57.5","57.5","40.7","40.7","40.7","49.4","49.4","49.4","43.4","43.4","43.4","60.79999999999999","60.8","60.8","57.5","57.5","57.5"
"13","61.2","61.2","61.2","61.1","61.1","61.1","42.1","42.1","42.1","43","43","43","57.8","57.8","57.8","51.3","51.3","51.3","63","63","63","56.5","56.5","56.5"
"14","60.9","60.9","60.9","60.4","60.4","60.4","57.9","57.9","57.9","43.9","43.9","43.9","56.2","56.2","56.2","55.9","55.9","55.9","59.6","59.6","59.6","64.3","64.3","64.3"
"15","61.6","61.6","61.6","59.9","59.9","59.9","49.7","49.7","49.7","44.5","44.5","44.5","58.3","58.3","58.3","50.4","50.4","50.4","54.79999999999999","54.8","54.8","61.2","61.2","61.2"
"16","59.2","59.2","59.2","56.8","56.8","56.8","56.7","56.7","56.7","37","37","37","58.3","58.3","58.3","36.1","36.1","36.1","59.79999999999999","59.8","59.8","57.5","57.5","57.5"
"17","59.6","59.6","59.6","65.1","65.1","65.1","60.5","60.5","60.5","46.6","46.6","46.6","43.5","43.5","43.5","61.5","61.5","61.5","60.70000000000001","60.7","60.7","61.4","61.4","61.4"
"18","63.8","63.8","63.8","64.5","64.5","64.5","57.7","57.7","57.7","46.8","46.8","46.8","60.9","60.9","60.9","59.9","59.9","59.9","61.5","61.5","61.5","63.5","63.5","63.5"
